Date	Open	High	Low	Close/Last	Volume	20 Day Moving Avg	
11/23/2018	76.24	78.24	76.19	77.45	111,098	76.0325	
11/21/2018	76.95	78.19	76.80	76.92	285,897	75.703	
11/20/2018	76.32	77.12	75.67	76.37	263,793	75.315	
11/19/2018	78.79	78.95	76.78	77.30	393,851	75.144	
11/16/2018	77.45	79.26	76.98	78.91	231,083	74.9675	
11/15/2018	77.40	78.22	76.62	78.03	263,872	74.692	
11/14/2018	78.57	78.74	77.43	77.77	273,340	74.5455	
11/13/2018	77.70	78.4735	77.04	77.56	243,960	74.4785	
11/12/2018	78.13	78.42	76.90	77.44	338,869	74.4385	
11/09/2018	77.40	78.46	77.02	78.10	340,949	74.3165	
11/08/2018	76.96	78.485	75.87	77.64	553,885	74.1695	
11/07/2018	76.18	77.66	75.48	77.17	329,923	74.0225	
11/06/2018	76.31	76.365	74.73	75.60	446,785	73.936	
11/05/2018	75.99	77.02	75.31	76.67	249,772	74.031	
11/02/2018	76.49	77.01	75.03	76.00	1,219,667	74.1185	
11/01/2018	73.71	76.20	73.68	76.00	399,713	74.2695	
10/31/2018	71.88	73.88	71.53	73.40	402,308	74.4445	
10/30/2018	70.45	71.66	70.43	71.53	344,524	74.8295	
10/29/2018	71.20	71.60	69.82	70.46	355,447	75.3255	
10/26/2018	69.96	71.15	69.46	70.33	472,051	75.8805	
10/25/2018	69.96	71.3994	69.85	70.86	374,945	76.529	
10/24/2018	73.25	73.25	69.06	69.16	390,002	77.201	
10/23/2018	72.33	73.01	71.47	72.95	543,621	77.903	
10/22/2018	73.70	74.08	72.845	73.77	280,027	78.3955	
10/19/2018	75.32	75.37	73.34	73.40	357,857	78.8445	
10/18/2018	76.31	76.4032	74.77	75.10	201,561	79.3345	
10/17/2018	76.62	76.62	75.58	76.43	213,260	79.732	
10/16/2018	75.49	76.80	74.25	76.76	207,576	80.028	
10/15/2018	74.94	75.56	74.645	75.00	290,308	80.28	
10/12/2018	75.67	76.01	74.72	75.16	320,590	80.5875	
10/11/2018	75.30	75.88	74.28	74.70	561,507	80.907	
10/10/2018	77.43	77.43	75.35	75.44	329,545	81.2095	
10/09/2018	78.40	78.40	77.22	77.50	308,831	81.385	
10/08/2018	78.85	78.89	77.15	78.42	313,894	81.435	
10/05/2018	79.68	80.11	78.84	79.02	261,532	81.454	
10/04/2018	80.70	80.735	79.14	79.50	303,162	81.4255	
10/03/2018	81.61	81.68	80.87	81.10	322,689	81.3405	
10/02/2018	81.38	81.875	80.955	81.45	349,076	81.1805	
10/01/2018	83.17	83.35	81.35	81.56	297,654	81.0155	
09/28/2018	84.15	84.15	83.30	83.30	252,571	80.84	
09/27/2018	83.35	84.55	83.10	84.30	212,194	80.5625	
09/26/2018	83.00	84.00	82.70	83.20	266,977	80.2575	
09/25/2018	83.00	83.15	82.05	82.80	158,642	79.9775	
09/24/2018	83.10	83.10	82.10	82.75	254,571	79.685	
09/21/2018	83.25	83.60	82.90	83.20	551,920	79.36	
09/20/2018	82.60	83.20	81.80	83.05	170,716	78.985	
