Date	Open	High	Low	Close/Last	Volume	20 Day Moving Avg	
11/23/2018	1.88	1.88	1.88	1.88	275	2.158495	
11/21/2018	1.83	1.87	1.83	1.87	278	2.188995	
11/20/2018	1.9961	1.9961	1.88	1.88	410	2.212995	
11/19/2018	2.1352	2.1352	2.00	2.01	1,006	2.230495	
11/16/2018	2.01	2.01	1.8995	1.99	3,300	2.240995	
11/15/2018	2.092	2.148	2.00	2.11	6,836	2.264495	
11/14/2018	2.25	2.25	2.25	2.25	395	2.276995	
11/13/2018	2.20	2.20	2.02	2.04	4,905	2.284495	
11/12/2018	2.12	2.12	2.12	2.12	598	2.303495	
11/09/2018	2.1999	2.21	2.1999	2.21	1,302	2.318495	
11/08/2018	2.21	2.21	2.0261	2.10	3,529	2.338965	
11/07/2018	2.169	2.185	2.15	2.16	978	2.359965	
11/06/2018	2.161	2.22	2.15	2.15	3,744	2.379465	
11/05/2018	2.47	2.47	2.20	2.20	5,142	2.404465	
11/02/2018	2.49	2.49	2.22	2.22	1,296	2.426965	
11/01/2018	2.2968	2.30	2.2968	2.30	715	2.450465	
10/31/2018	2.29	2.3927	2.20	2.2099	11,876	2.460965	
10/30/2018	2.49	-	-	2.49	0	2.48047	
10/29/2018	2.49	-	-	2.49	0	2.48597	
10/26/2018	2.49	-	-	2.49	0	2.49047	
10/25/2018	2.2653	2.49	2.2653	2.49	2,926	2.49097	
10/24/2018	2.31	2.37	2.31	2.35	822	2.48797	
10/23/2018	2.21	2.46	2.21	2.23	2,070	2.49547	
10/22/2018	2.26	2.40	2.22	2.22	13,929	2.50897	
10/19/2018	2.37	2.50	2.34	2.46	33,248	2.52347	
10/18/2018	2.45	2.46	2.36	2.36	6,209	2.52147	
10/17/2018	2.54	2.54	2.36	2.40	9,344	2.53297	
10/16/2018	2.44	2.51	2.42	2.42	8,181	2.53947	
10/15/2018	2.42	2.59	2.42	2.42	7,733	2.54372	
10/12/2018	2.48	2.6194	2.48	2.6194	4,170	2.54772	
10/11/2018	2.48	2.52	2.43	2.52	1,389	2.54325	
10/10/2018	2.63	2.65	2.5125	2.55	2,139	2.54575	
10/09/2018	2.65	2.65	2.5015	2.65	2,628	2.54875	
10/08/2018	2.65	2.65	2.65	2.65	314	2.54575	
10/05/2018	2.58	2.70	2.565	2.69	3,273	2.53975	
10/04/2018	2.60	2.75	2.51	2.51	3,001	2.53225	
10/03/2018	2.4824	2.70	2.4501	2.60	30,203	2.53375	
10/02/2018	2.68	2.69	2.4479	2.60	56,547	2.53075	
10/01/2018	2.57	2.72	2.57	2.58	7,991	2.52775	
09/28/2018	2.50	2.50	2.50	2.50	514	2.52287	
09/27/2018	2.45	2.45	2.43	2.43	2,108	2.52987	
09/26/2018	2.50	2.50	2.465	2.50	2,360	2.53837	
09/25/2018	2.55	2.55	2.50	2.50	590	2.53587	
09/24/2018	2.5832	2.5832	2.42	2.51	2,270	2.53937	
09/21/2018	2.67	2.68	2.42	2.42	16,248	2.54537	
09/20/2018	2.60	2.66	2.583	2.59	3,095	2.54687	
09/19/2018	2.59	2.63	2.481	2.53	7,329	2.54237	
09/18/2018	2.42	2.59	2.42	2.505	3,063	2.54087	
09/17/2018	2.61	2.63	2.445	2.50	12,320	2.536625	
09/14/2018	2.57	2.61	2.53	2.53	6,716	2.538125	
09/13/2018	2.60	2.61	2.57	2.57	3,278	2.543625	
09/12/2018	2.67	2.67	2.42	2.61	18,259	2.542625	
09/11/2018	2.68	2.68	2.471	2.59	13,538	2.542125	
09/10/2018	2.65	2.68	2.4359	2.53	8,817	2.544625	
09/07/2018	2.54	-	-	2.54	0	2.548825	
09/06/2018	2.54	-	-	2.54	0	2.54935	
09/05/2018	2.54	-	-	2.54	0	2.55735	
09/04/2018	2.5868	2.5868	2.54	2.54	727	2.56535	
08/31/2018	2.4622	2.5888	2.4622	2.4824	4,771	2.567315	
08/30/2018	2.64	2.64	2.64	2.64	581	2.568195	
08/29/2018	2.515	2.60	2.45	2.60	762	2.560195	
08/28/2018	2.43	2.5168	2.43	2.45	632	2.554195	
08/27/2018	2.54	2.68	2.42	2.57	6,386	2.554695	
08/24/2018	2.43	2.66	2.43	2.63	6,469	2.547435	
08/23/2018	2.51	2.705	2.45	2.45	26,806	2.545435	
08/22/2018	2.459	2.74	2.45	2.50	38,492	2.55543	
08/21/2018	2.5291	2.53	2.42	2.50	3,802	2.553565	
08/20/2018	2.42	2.555	2.41	2.4201	9,960	2.555565	
08/17/2018	2.42	2.6063	2.42	2.53	7,425	2.56956	
08/16/2018	2.66	2.68	2.64	2.64	601	2.59246	
08/15/2018	2.42	2.55	2.42	2.55	3,291	2.61046	
08/14/2018	2.56	2.7053	2.56	2.60	26,729	2.62996	
08/13/2018	2.74	2.74	2.64	2.64	471	2.64246	
08/10/2018	2.614	2.614	2.614	2.614	506	2.65781	
08/09/2018	2.74	2.74	2.5505	2.5505	1,477	2.67937	
08/08/2018	2.70	2.70	2.70	2.70	4,095	2.708495	
08/07/2018	2.67	2.70	2.67	2.70	6,261	2.714495	
08/06/2018	2.67	2.67	2.5793	2.5793	1,156	2.723995	
08/03/2018	2.60	2.68	2.3618	2.50	2,158	2.73903	
08/02/2018	2.48	-	-	2.48	0	2.73503	
08/01/2018	2.46	2.48	2.40	2.48	11,535	2.74703	
07/31/2018	2.41	2.53	2.41	2.46	873	2.73683	
07/30/2018	2.43	2.4817	2.41	2.4248	9,812	2.72233	
07/27/2018	2.55	2.59	2.55	2.59	333	2.71609	
07/26/2018	2.52	2.73	2.47	2.6499	4,039	2.70354	
07/25/2018	2.6317	2.74	2.40	2.4627	18,672	2.687995	
07/24/2018	2.77	2.77	2.40	2.54	29,952	2.67986	
07/23/2018	2.82	2.82	2.58	2.70	17,843	2.66436	
07/20/2018	2.89	2.988	2.77	2.988	3,979	2.64286	
07/19/2018	3.00	3.00	2.904	3.00	669	2.601455	
07/18/2018	2.85	2.94	2.85	2.94	6,107	2.557955	
07/17/2018	2.975	3.00	2.78	2.85	5,861	2.513955	
07/16/2018	3.0804	3.0804	2.90	2.947	6,568	2.481955	
07/13/2018	3.10	3.134	3.00	3.0452	5,518	2.445105	
07/12/2018	2.92	3.25	2.90	3.133	52,533	2.410345	
07/11/2018	2.89	2.92	2.7355	2.82	27,031	2.371195	
07/10/2018	2.97	2.99	2.70	2.89	57,854	2.345195	
07/09/2018	2.66	2.95	2.66	2.88	111,411	2.323695	
07/06/2018	2.76	2.76	2.42	2.42	4,580	2.296195	
07/05/2018	2.184	2.77	2.184	2.72	42,838	2.292195	
07/03/2018	2.276	2.276	2.276	2.276	1,123	2.276195	
07/02/2018	2.2001	2.2142	2.16	2.17	23,078	2.286395	
06/29/2018	2.34	2.35	2.20	2.30	11,062	2.301895	
06/28/2018	2.339	-	-	2.339	0	2.313895	
06/27/2018	2.34	2.34	2.339	2.339	710	2.321445	
06/26/2018	2.164	2.30	2.16	2.30	3,371	2.327995	
06/25/2018	2.13	2.23	2.13	2.23	1,827	2.338495	
06/22/2018	2.11	2.335	2.11	2.27	4,930	2.369495	
06/21/2018	2.07	2.19	2.07	2.1599	1,956	2.402495	
06/20/2018	2.13	2.16	2.13	2.13	802	2.442	
06/19/2018	2.24	2.24	2.05	2.06	3,008	2.48	
06/18/2018	2.291	2.31	2.21	2.21	3,219	2.514	
06/15/2018	2.30	2.3514	2.21	2.21	7,083	2.5345	
06/14/2018	2.35	2.59	2.35	2.35	7,667	2.5485	
06/13/2018	2.51	2.51	2.345	2.35	3,680	2.5535	
06/12/2018	2.445	2.45	2.30	2.30	2,868	2.557	
06/11/2018	2.58	2.58	2.425	2.46	14,122	2.5665	
06/08/2018	2.29	2.4031	2.29	2.33	1,853	2.5725	
06/07/2018	2.4672	2.53	2.2801	2.34	10,065	2.581	
06/06/2018	2.48	2.4858	2.40	2.40	15,057	2.5885	
06/05/2018	2.63	2.63	2.48	2.48	6,145	2.593	
06/04/2018	2.77	2.77	2.48	2.48	1,666	2.593	
06/01/2018	2.49	2.54	2.42	2.54	19,171	2.592165	
05/31/2018	2.499	2.555	2.48	2.49	7,231	2.584665	
05/30/2018	2.45	2.5364	2.45	2.47	7,141	2.580165	
05/29/2018	2.651	2.80	2.51	2.51	30,748	2.579165	
05/25/2018	2.90	2.91	2.82	2.85	5,134	2.578665	
05/24/2018	2.85	2.93	2.85	2.93	4,826	2.555665	
05/23/2018	2.999	2.999	2.821	2.95	39,795	2.520665	
05/22/2018	3.05	3.05	2.7738	2.89	3,984	2.486665	
05/21/2018	2.62	2.75	2.62	2.74	21,249	2.458165	
05/18/2018	2.44	2.86	2.44	2.62	17,114	2.439165	
05/17/2018	2.50	2.50	2.45	2.49	2,076	2.408165	
05/16/2018	2.40	2.90	2.40	2.45	75,250	2.40838	
05/15/2018	2.49	2.49	2.41	2.42	6,317	2.40988	
05/14/2018	2.5875	2.5875	2.49	2.49	7,831	2.41688	
05/11/2018	2.51	2.58	2.51	2.58	1,329	2.41738	
05/10/2018	2.5359	2.5359	2.50	2.50	1,551	2.41088	
05/09/2018	2.495	2.4999	2.49	2.49	7,787	2.41027	
05/08/2018	2.50	2.50	2.49	2.49	426	2.40476	
05/07/2018	2.4149	2.50	2.4149	2.48	514	2.40276	
05/04/2018	2.36	2.499	2.36	2.4633	1,391	2.39376	
05/03/2018	2.40	2.40	2.39	2.39	1,530	2.388595	
05/02/2018	2.3906	2.40	2.3906	2.40	2,523	2.393095	
05/01/2018	2.40	2.45	2.40	2.45	626	2.396595	
04/30/2018	2.3821	2.50	2.3821	2.50	3,167	2.406595	
04/27/2018	2.30	2.39	2.30	2.39	1,757	2.409595	
04/26/2018	2.23	2.23	2.23	2.23	852	2.422255	
04/25/2018	2.23	2.35	2.20	2.27	20,922	2.442255	
04/24/2018	2.30	2.50	2.26	2.32	8,939	2.467255	
04/23/2018	2.25	2.52	2.164	2.36	135,381	2.488755	
04/20/2018	2.31	2.35	2.00	2.00	81,769	2.516755	
04/19/2018	2.2921	2.4943	2.2921	2.4943	1,464	2.550755	
04/18/2018	2.50	2.50	2.4249	2.48	16,349	2.56554	
04/17/2018	2.2924	2.56	2.2924	2.56	29,219	2.57454	
04/16/2018	2.5312	2.5312	2.4576	2.50	2,848	2.58704	
04/13/2018	2.45	2.45	2.4234	2.45	11,849	2.59954	
04/12/2018	2.31	2.4878	2.3013	2.4878	4,386	2.60954	
04/11/2018	2.439	2.439	2.32	2.3798	776	2.61833	
04/10/2018	2.57	2.60	2.45	2.45	35,476	2.63434	
04/09/2018	2.455	2.4574	2.30	2.30	4,636	2.646845	
04/06/2018	2.47	2.47	2.2426	2.36	1,615	2.661945	
04/05/2018	2.54	2.54	2.47	2.48	6,892	2.67219	
04/04/2018	2.57	2.57	2.4699	2.47	20,361	2.67869	
04/03/2018	2.55	2.72	2.55	2.65	604	2.68369	
04/02/2018	2.62	2.62	2.52	2.56	7,851	2.68219	
03/29/2018	2.63	2.6432	2.63	2.6432	2,597	2.68419	
03/28/2018	2.75	2.75	2.62	2.63	11,593	2.68353	
03/27/2018	2.77	2.7999	2.68	2.77	5,479	2.68353	
03/26/2018	2.83	2.89	2.74	2.75	5,564	2.67803	
03/23/2018	2.68	2.98	2.68	2.92	26,465	2.67503	
03/22/2018	2.6466	2.70	2.6466	2.68	3,439	2.66353	
03/21/2018	2.8469	2.8469	2.65	2.79	6,878	2.66608	
03/20/2018	2.61	2.9349	2.61	2.66	14,819	2.65408	
03/19/2018	2.67	2.9799	2.5179	2.81	17,545	2.64958	
03/16/2018	2.688	2.77	2.628	2.75	9,010	2.63758	
03/15/2018	2.665	2.69	2.65	2.65	848	2.63258	
03/14/2018	2.6636	2.6636	2.6636	2.6636	566	2.63008	
03/13/2018	2.70	2.72	2.68	2.70	10,561	2.6309	
03/12/2018	2.6499	2.73	2.591	2.7001	16,259	2.6309	
03/09/2018	2.65	2.65	2.602	2.602	2,184	2.633395	
03/08/2018	2.60	2.60	2.5649	2.5649	3,262	2.643295	
03/07/2018	2.62	2.69	2.59	2.61	22,460	2.64955	
03/06/2018	2.65	2.65	2.57	2.57	2,957	2.65555	
03/05/2018	2.6196	2.66	2.6196	2.62	5,601	2.66405	
03/02/2018	2.60	2.60	2.57	2.60	19,925	2.68205	
03/01/2018	2.64	2.65	2.63	2.63	3,836	2.69955	
02/28/2018	2.65	2.675	2.63	2.63	4,997	2.71555	
02/27/2018	2.65	2.7246	2.65	2.66	3,363	2.73605	
02/26/2018	2.62	2.69	2.62	2.69	5,093	2.75305	
02/23/2018	2.86	2.96	2.60	2.69	13,385	2.76955	
02/22/2018	2.688	3.03	2.688	2.731	26,418	2.78305	
02/21/2018	2.54	2.55	2.485	2.55	3,862	2.7975	
02/20/2018	2.57	-	-	2.57	0	2.8215	
02/16/2018	2.68	2.68	2.56	2.57	22,481	2.835	
02/15/2018	2.7576	2.7576	2.65	2.65	775	2.841125	
02/14/2018	2.67	2.7582	2.60	2.60	6,804	2.843125	
02/13/2018	2.70	2.70	2.6502	2.68	3,152	2.853625	
02/12/2018	2.65	2.77	2.65	2.70	3,608	2.856125	
02/09/2018	2.6101	2.90	2.6101	2.75	14,095	2.85112	
02/08/2018	2.82	2.87	2.625	2.80	14,357	2.84212	
02/07/2018	2.6231	2.69	2.6231	2.69	310	2.82962	
02/06/2018	2.74	2.87	2.6429	2.73	12,096	2.82412	
02/05/2018	3.00	3.00	2.74	2.74	12,464	2.81512	
02/02/2018	2.93	2.98	2.91	2.98	3,465	2.81662	
02/01/2018	3.0401	3.0401	2.95	2.95	1,456	2.794985	
01/31/2018	3.00	3.01	2.95	2.95	6,476	2.781485	
01/30/2018	2.94	3.08	2.94	3.04	12,371	2.762035	
01/29/2018	2.7555	3.05	2.7555	3.00	9,206	2.749035	
01/26/2018	3.06	3.06	2.9301	3.02	3,065	2.73903	
01/25/2018	2.98	3.06	2.96	2.96	8,507	2.72353	
01/24/2018	3.05	3.09	2.7145	3.02	23,148	2.70953	
01/23/2018	2.84	3.08	2.62	3.03	13,048	2.68603	
01/22/2018	2.70	2.84	2.70	2.84	2,505	2.66153	
01/19/2018	2.72	2.7736	2.6925	2.6925	4,310	2.64803	
01/18/2018	2.81	2.90	2.645	2.69	12,609	2.640905	
01/17/2018	2.76	2.865	2.61	2.81	126,488	2.633905	
01/16/2018	2.62	2.8809	2.60	2.73	26,003	2.631405	
01/12/2018	2.60	2.69	2.5534	2.5999	2,867	2.632405	
01/11/2018	2.60	2.66	2.51	2.57	7,041	2.63741	
01/10/2018	2.56	2.8865	2.51	2.55	49,019	2.64891	
01/09/2018	2.67	2.80	2.50	2.58	22,611	2.67141	
01/08/2018	2.80	2.80	2.54	2.55	23,248	2.69641	
01/05/2018	2.58	2.8737	2.54	2.77	19,944	2.71241	
01/04/2018	2.5765	2.5765	2.52	2.5473	11,152	2.72091	
01/03/2018	2.59	2.68	2.57	2.68	11,573	2.728045	
01/02/2018	2.58	2.81	2.4501	2.561	18,383	2.739045	
12/29/2017	3.00	3.07	2.6389	2.78	31,090	2.763495	
12/28/2017	2.85	2.99	2.7222	2.7999	28,344	2.766495	
12/27/2017	2.70	2.9116	2.6374	2.71	20,192	2.77305	
12/26/2017	2.67	2.79	2.6001	2.68	4,480	2.77505	
12/22/2017	2.62	2.62	2.535	2.55	2,153	2.78055	
12/21/2017	2.54	2.80	2.5151	2.54	15,860	2.79255	
12/20/2017	2.5101	2.60	2.5101	2.57	11,270	2.80405	
12/19/2017	2.5575	2.559	2.4601	2.55	17,697	2.81855	
12/18/2017	2.85	2.86	2.50	2.55	43,571	2.83405	
12/15/2017	2.76	2.7908	2.67	2.76	2,024	2.85155	
12/14/2017	2.83	2.8959	2.69	2.75	6,857	2.85705	
12/13/2017	2.8843	2.8843	2.70	2.70	4,412	2.85905	
12/12/2017	2.80	3.1254	2.7866	2.80	24,335	2.86155	
12/11/2017	2.92	3.26	2.92	3.00	32,107	2.8621	
12/08/2017	2.87	3.15	2.85	3.08	74,585	2.8606	
12/07/2017	2.97	3.00	2.87	2.87	2,427	2.8451	
12/06/2017	2.50	3.01	2.50	2.94	57,627	2.84161	
12/05/2017	2.90	2.90	2.50	2.69	32,401	2.83511	
12/04/2017	3.08	3.15	2.831	2.90	15,013	2.83811	
12/01/2017	2.76	3.20	2.76	3.05	33,359	2.83761	
11/30/2017	3.1331	3.1331	2.77	2.84	12,729	2.82961	
11/29/2017	2.7638	3.0653	2.7638	2.931	35,548	2.82811	
11/28/2017	2.79	2.89	2.75	2.75	1,007	2.82606	
11/27/2017	2.79	-	-	2.79	0	2.82856	
11/24/2017	2.90	2.9092	2.7856	2.79	3,095	2.83456	
