Date	Open	High	Low	Close/Last	Volume	20 Day Moving Avg	
11/23/2018	61.30	62.08	60.55	60.74	280,756	62.862	
11/21/2018	61.42	63.115	61.36	62.37	1,008,795	62.8075	
11/20/2018	59.02	60.84	57.84	59.94	727,522	62.5995	
11/19/2018	63.55	63.94	60.495	60.84	888,119	62.6675	
11/16/2018	64.21	65.23	62.79	64.96	455,365	62.739	
11/15/2018	62.91	65.895	62.30	64.95	762,847	62.4835	
11/14/2018	62.40	64.33	61.30	62.22	798,832	62.2715	
11/13/2018	61.75	62.90	60.84	61.67	573,784	62.3105	
11/12/2018	61.68	62.01	60.1055	61.10	524,509	62.419	
11/09/2018	63.25	63.25	60.69	61.82	618,168	62.485	
11/08/2018	64.62	64.87	63.01	64.23	699,078	62.519	
11/07/2018	65.75	66.575	64.49	65.41	396,654	62.258	
11/06/2018	64.84	67.87	64.31	65.75	1,109,688	61.9465	
11/05/2018	64.92	65.759	64.01	65.12	1,091,767	61.791	
11/02/2018	67.76	68.96	65.87	66.23	955,964	61.7425	
11/01/2018	63.33	68.06	62.42	67.36	1,081,703	61.6435	
10/31/2018	59.66	63.44	58.78	63.31	825,621	61.5275	
10/30/2018	58.65	59.47	56.67	58.80	869,481	61.74	
10/29/2018	61.91	61.91	58.19	59.05	713,727	62.159	
10/26/2018	57.96	61.95	57.69	61.37	626,041	62.713	
10/25/2018	58.84	60.20	57.6375	59.65	612,036	63.1185	
10/24/2018	61.05	61.51	58.19	58.21	900,219	63.622	
10/23/2018	60.09	62.22	58.99	61.30	661,146	64.2145	
10/22/2018	61.71	63.64	61.07	62.27	794,706	64.594	
10/19/2018	62.32	62.91	59.54	59.85	461,738	64.9075	
10/18/2018	62.44	62.44	60.56	60.71	811,711	65.433	
10/17/2018	63.91	64.4104	62.12	63.00	721,330	65.9275	
10/16/2018	62.50	63.90	62.30	63.84	529,074	66.1895	
10/15/2018	61.03	63.28	61.03	62.42	617,979	66.2835	
10/12/2018	60.66	62.69	60.52	62.50	909,764	66.403	
10/11/2018	58.40	59.80	57.85	59.01	1,689,416	66.5835	
10/10/2018	62.10	62.13	59.11	59.18	1,613,370	66.9735	
10/09/2018	63.94	64.36	62.27	62.64	1,440,023	67.2825	
10/08/2018	62.50	65.05	61.81	64.15	1,159,812	67.3765	
10/05/2018	65.12	65.12	62.61	64.25	1,339,073	67.426	
10/04/2018	67.22	67.22	64.10	65.04	951,929	67.502	
10/03/2018	67.69	68.0401	67.28	67.56	462,117	67.586	
10/02/2018	69.13	69.52	66.615	67.18	817,241	67.547	
10/01/2018	69.56	71.03	69.56	70.13	469,484	67.7065	
09/28/2018	69.24	70.49	68.75	69.48	716,293	67.748	
09/27/2018	70.51	70.5215	68.74	69.72	394,349	67.7565	
09/26/2018	68.91	71.1502	68.91	70.06	627,152	67.8705	
09/25/2018	68.34	69.295	68.21	68.89	350,758	67.971	
09/24/2018	69.22	69.40	68.00	68.54	557,082	68.106	
09/21/2018	72.00	72.38	70.1801	70.36	648,900	68.1715	
09/20/2018	68.94	70.96	68.80	70.60	945,450	68.129	
09/19/2018	66.14	69.03	66.09	68.24	814,719	68.1435	
09/18/2018	64.92	66.22	64.22	65.72	593,210	68.246	
09/17/2018	65.36	66.58	64.64	64.81	519,025	68.4795	
09/14/2018	67.31	67.4756	65.54	66.11	475,954	68.6895	
09/13/2018	66.21	67.79	66.21	66.81	806,629	68.8055	
09/12/2018	64.50	65.9299	63.20	65.36	652,922	68.9005	
09/11/2018	64.05	65.88	63.22	64.52	801,421	69.142	
09/10/2018	65.87	65.96	64.31	65.14	758,641	69.481	
09/07/2018	66.00	68.17	65.5761	65.77	824,179	69.9605	
09/06/2018	67.00	67.80	66.11	66.72	583,219	70.425	
09/05/2018	69.56	69.69	66.12	66.78	1,125,872	70.833	
09/04/2018	70.25	70.57	69.12	70.37	754,206	71.5205	
08/31/2018	69.66	71.50	69.50	70.96	570,786	72.0015	
08/30/2018	71.33	71.61	69.16	69.65	646,833	72.4345	
08/29/2018	72.41	72.87	71.07	72.00	579,197	72.947	
08/28/2018	72.34	72.94	71.01	72.07	712,033	73.36	
08/27/2018	70.71	72.355	70.71	71.59	465,690	73.7805	
08/24/2018	70.26	70.49	69.5664	69.85	302,020	74.2355	
08/23/2018	71.26	71.93	69.34	69.51	909,770	74.9185	
08/22/2018	70.49	71.40	70.085	70.89	588,003	75.6545	
08/21/2018	70.92	71.67	69.92	70.29	775,673	76.343	
08/20/2018	69.50	70.79	69.50	70.39	566,214	76.984	
08/17/2018	68.21	69.23	67.76	69.01	756,665	77.62	
08/16/2018	69.47	69.842	68.38	68.43	989,205	78.3325	
08/15/2018	68.00	69.15	67.475	68.71	1,542,231	79.058	
08/14/2018	71.07	71.84	69.60	70.19	944,582	79.822	
08/13/2018	74.92	75.28	71.03	71.30	1,364,409	80.556	
08/10/2018	74.50	75.18	73.53	74.73	1,671,045	81.1885	
08/09/2018	75.49	76.21	74.79	75.06	1,381,591	81.6555	
08/08/2018	85.00	85.05	74.36	74.88	3,156,163	82.1275	
08/07/2018	80.81	81.20	79.24	80.53	1,020,567	82.562	
08/06/2018	79.11	80.46	79.08	79.99	585,350	82.7695	
08/03/2018	80.05	80.3732	79.31	79.62	382,408	83.016	
08/02/2018	79.32	80.07	78.71	79.90	473,986	83.25	
08/01/2018	79.51	81.9032	79.51	80.26	635,373	83.408	
07/31/2018	80.56	80.71	79.62	80.48	1,054,066	83.5845	
07/30/2018	83.22	83.22	80.00	80.69	1,320,817	83.76	
07/27/2018	84.12	84.49	82.93	83.51	1,004,649	83.96	
07/26/2018	83.63	84.99	83.40	84.23	524,317	83.941	
07/25/2018	83.50	84.67	83.15	84.66	785,979	83.8085	
07/24/2018	84.11	85.40	82.77	83.11	701,109	83.842	
07/23/2018	83.26	83.59	82.455	83.11	506,673	83.952	
07/20/2018	83.60	84.4799	82.98	83.26	392,098	84.237	
07/19/2018	83.57	84.2139	82.59	82.94	488,081	84.474	
07/18/2018	84.89	85.44	83.47	83.99	387,598	84.828	
07/17/2018	83.36	85.34	83.22	84.87	477,525	85.0855	
07/16/2018	83.92	84.30	83.23	83.95	632,336	85.4495	
07/13/2018	84.28	84.94	83.58	84.07	285,522	85.981	
07/12/2018	84.50	84.84	83.75	84.50	497,447	86.5905	
07/11/2018	83.60	84.90	83.175	83.57	467,815	87.0975	
07/10/2018	85.22	85.22	84.20	84.68	656,715	87.6265	
07/09/2018	85.03	85.858	83.72	84.92	401,870	88.0475	
07/06/2018	83.00	84.47	82.17	84.30	626,244	88.5505	
07/05/2018	83.79	84.29	81.92	83.06	918,318	88.996	
07/03/2018	85.21	85.29	83.46	83.79	470,414	89.4625	
07/02/2018	83.15	84.18	82.16	83.99	799,402	89.9945	
06/29/2018	83.81	85.27	83.50	84.69	1,035,497	90.4615	
06/28/2018	80.50	83.78	79.69	83.13	1,264,994	90.839	
06/27/2018	85.45	85.969	81.45	81.58	1,168,723	91.2235	
